Local Calc, Lattice Calc, Clock Local Calc, Clock Lattice Calc, Dipolar Local Calc, Dipolar Lattice Calc
-1.5, -1.5, -1.5, -1.5, 0, 0
1.77636e-15, 3.55271e-15, 1.77636e-15, 3.55271e-15, 0, 0
-2.72441, -2.72441, -3, -3, 0.275595, 0.275595
2.28973, 2.28973, 1, 1, 1.28973, 1.28973
-3, -3, -3, -3, 0, 0
3.18913, 3.18913, 3, 3, 0.189132, 0.189132
4.5, 4.5, 4.5, 4.5, 0, 0
1.12696, 1.12696, 0.5, 0.5, 0.626957, 0.626957
3, 3, 3, 3, 0, 0
0.523916, 0.523916, 1, 1, -0.476084, -0.476084
1.78932, 1.78932, 1.5, 1.5, 0.28932, 0.28932
4.5, 4.5, 4.5, 4.5, 0, 0
3.39573, 3.39573, 4, 4, -0.604268, -0.604268
0, 0, -0, 0, 0, 0
0.89906, 0.89906, 0.5, 0.5, 0.39906, 0.39906
1.04457, 1.04457, 0.5, 0.5, 0.544569, 0.544569
2.56619, 2.56619, 2, 2, 0.566189, 0.566189
0.643417, 0.643417, 1, 1, -0.356583, -0.356583
-1.05527, -1.05527, -2, -2, 0.944733, 0.944733
-7.5, -7.5, -7.5, -7.5, 0, 0
-0.0800093, -0.0800093, -9.99201e-16, 0, -0.0800093, -0.0800093
5.45649, 5.45649, 5, 5, 0.456488, 0.456488
-0.858354, -0.858354, -0.5, -0.5, -0.358354, -0.358354
0, 0, -0, 0, 0, 0
-3.5384, -3.5384, -4, -4, 0.461604, 0.461604
0.0430372, 0.0430372, -0, 0, 0.0430372, 0.0430372
1.33091, 1.33091, 1.5, 1.5, -0.169091, -0.169091
0, 0, -0, 0, 0, 0
0.407809, 0.407809, 1, 1, -0.592191, -0.592191
1.5, 1.5, 1.5, 1.5, 0, 0
0.885737, 0.885737, 0.5, 0.5, 0.385737, 0.385737
-2.48612, -2.48612, -2, -2, -0.486118, -0.486118
1.67369, 1.67369, 1.5, 1.5, 0.17369, 0.17369
-3, -3, -3, -3, 0, 0
2.12565, 2.12565, 2.5, 2.5, -0.374347, -0.374347
0, 0, -0, 0, 0, 0
0.179491, 0.179491, -1.5, -1.5, 1.67949, 1.67949
-1.09454, -1.09454, -0.5, -0.5, -0.594537, -0.594537
-3, -3, -3, -3, 0, 0
-1.5, -1.5, -1.5, -1.5, 0, 0
1.0494, 1.0494, 0.5, 0.5, 0.549396, 0.549396
1.5, 1.5, 1.5, 1.5, 0, 0
0, 0, -0, 0, 0, 0
3.15193, 3.15193, 3, 3, 0.151928, 0.151928
2.59596, 2.59596, 2, 2, 0.595956, 0.595956
-4.5, -4.5, -4.5, -4.5, 0, 0
-6, -6, -6, -6, 0, 0
-2.50463, -2.50463, -3.5, -3.5, 0.995367, 0.995367
-0.528621, -0.528621, 0.5, 0.5, -1.02862, -1.02862
-0.500696, -0.500696, -1, -1, 0.499304, 0.499304
-3, -3, -3, -3, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
0, 0, -0, 0, 0, 0
2.22045e-16, 0, 2.22045e-16, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
-1.39869, -1.39869, -1.5, -1.5, 0.101311, 0.101311
2.70667, 2.70667, 2, 2, 0.706671, 0.706671
-0.396046, -0.396046, 0.5, 0.5, -0.896046, -0.896046
3, 3, 3, 3, 0, 0
-0.069269, -0.069269, 5.55112e-16, 0, -0.069269, -0.069269
0, 0, -0, 0, 0, 0
3, 3, 3, 3, 0, 0
0, 0, -0, 0, 0, 0
0.598125, 0.598125, 1, 1, -0.401875, -0.401875
-3, -3, -3, -3, 0, 0
0.938187, 0.938187, 0.5, 0.5, 0.438187, 0.438187
-1.5, -1.5, -1.5, -1.5, 0, 0
-3, -3, -3, -3, 0, 0
3, 3, 3, 3, 0, 0
-1.5, -1.5, -1.5, -1.5, 0, 0
-4.5, -4.5, -4.5, -4.5, 0, 0
-6.06069, -6.06069, -6, -6, -0.0606898, -0.0606898
1.04368, 1.04368, 0.5, 0.5, 0.543681, 0.543681
-0.0940205, -0.0940205, -9.99201e-16, 0, -0.0940205, -0.0940205
-2.89498, -2.89498, -3, -3, 0.105024, 0.105024
0, 0, -0, 0, 0, 0
-1.5, -1.5, -1.5, -1.5, 0, 0
-1.5, -1.5, -1.5, -1.5, 0, 0
-2.50113, -2.50113, -2, -2, -0.501126, -0.501126
6.02578, 6.02578, 6, 6, 0.0257849, 0.0257849
-4.44089e-16, 0, -4.44089e-16, 0, 0, 0
3.03995, 3.03995, 3, 3, 0.039954, 0.039954
-6.66134e-16, 0, -6.66134e-16, 0, 0, 0
-0.798819, -0.798819, -0.5, -0.5, -0.298819, -0.298819
-0.872179, -0.872179, -2, -2, 1.12782, 1.12782
1.33227e-15, 0, 1.33227e-15, 0, 0, 0
0, 0, -0, 0, 0, 0
4.53225, 4.53225, 4.5, 4.5, 0.0322524, 0.0322524
4.5, 4.5, 4.5, 4.5, 0, 0
-0.267191, -0.267191, 0.5, 0.5, -0.767191, -0.767191
-3, -3, -3, -3, 0, 0
0, 0, -0, 0, 0, 0
-4.44089e-16, 0, -4.44089e-16, 0, 0, 0
2.14526, 2.14526, 1, 1, 1.14526, 1.14526
-1.5, -1.5, -1.5, -1.5, 0, 0
-3, -3, -3, -3, 0, 0
3.71391, 3.71391, 4, 4, -0.286091, -0.286091
0.124425, 0.124425, -0, 0, 0.124425, 0.124425
-6, -6, -6, -6, 0, 0
0, 0, -0, 0, 0, 0
-2.99769, -2.99769, -3, -3, 0.00231306, 0.00231306
0, 0, -0, 0, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
8.88178e-16, 0, 8.88178e-16, 0, 0, 0
-4.5, -4.5, -4.5, -4.5, 0, 0
-3.56732, -3.56732, -4, -4, 0.432676, 0.432676
2.48683, 2.48683, 2, 2, 0.486826, 0.486826
5.59695, 5.59695, 5, 5, 0.596948, 0.596948
3.07827, 3.07827, 3, 3, 0.078269, 0.078269
4.5, 4.5, 4.5, 4.5, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
-1.48222, -1.48222, -1.5, -1.5, 0.0177799, 0.0177799
1.5, 1.5, 1.5, 1.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
1.1216, 1.1216, 2, 2, -0.878403, -0.878403
0, 0, -0, 0, 0, 0
3.04412, 3.04412, 3, 3, 0.0441222, 0.0441222
3, 3, 3, 3, 0, 0
1.82317, 1.82317, 1, 1, 0.823171, 0.823171
-1.5, -1.5, -1.5, -1.5, 0, 0
6.10243, 6.10243, 6, 6, 0.102428, 0.102428
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
-0.0647018, -0.0647018, 6.66134e-16, 0, -0.0647018, -0.0647018
3.07581, 3.07581, 3, 3, 0.075811, 0.075811
0.879485, 0.879485, 0.5, 0.5, 0.379485, 0.379485
2.62494, 2.62494, 2, 2, 0.624944, 0.624944
-1.11022e-15, 0, -1.11022e-15, 0, 0, 0
-1.5, -1.5, -1.5, -1.5, 0, 0
3, 3, 3, 3, 0, 0
2.38609, 2.38609, 2, 2, 0.386094, 0.386094
6, 6, 6, 6, 0, 0
0.762803, 0.762803, 1, 1, -0.237197, -0.237197
-0.260073, -0.260073, 0.5, 0.5, -0.760073, -0.760073
6.66134e-16, 0, 6.66134e-16, 0, 0, 0
2.11889, 2.11889, 1, 1, 1.11889, 1.11889
2.22045e-16, 0, 2.22045e-16, 0, 0, 0
3.5648, 3.5648, 2.5, 2.5, 1.0648, 1.0648
3.27461, 3.27461, 3, 3, 0.274609, 0.274609
0, 0, -0, 0, 0, 0
3.31034, 3.31034, 4, 4, -0.689665, -0.689665
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
2.33526, 2.33526, 2, 2, 0.335265, 0.335265
-1.6123, -1.6123, -1.5, -1.5, -0.112301, -0.112301
5.99421, 5.99421, 6, 6, -0.00579137, -0.00579137
-0.115514, -0.115514, -0, 0, -0.115514, -0.115514
3.91511, 3.91511, 3.5, 3.5, 0.41511, 0.41511
2.85212, 2.85212, 3, 3, -0.147883, -0.147883
3.20995, 3.20995, 4, 4, -0.790053, -0.790053
7.5, 7.5, 7.5, 7.5, 0, 0
8.70319, 8.70319, 9, 9, -0.29681, -0.29681
-1.5, -1.5, -1.5, -1.5, 0, 0
2.46679, 2.46679, 2, 2, 0.466789, 0.466789
5.52428, 5.52428, 5, 5, 0.524277, 0.524277
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
0.811787, 0.811787, -0.5, -0.5, 1.31179, 1.31179
3, 3, 3, 3, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
8.88178e-16, 0, 8.88178e-16, 0, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
1.46836, 1.46836, 1.5, 1.5, -0.0316442, -0.0316442
2.88542, 2.88542, 3, 3, -0.114578, -0.114578
-3.23474, -3.23474, -3, -3, -0.234744, -0.234744
-1.06962, -1.06962, -0.5, -0.5, -0.569624, -0.569624
-1.5, -1.5, -1.5, -1.5, 0, 0
6, 6, 6, 6, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
1.56899, 1.56899, 1.5, 1.5, 0.068992, 0.068992
1.10289, 1.10289, 0.5, 0.5, 0.602892, 0.602892
2.44825, 2.44825, 2, 2, 0.448249, 0.448249
0, 0, -0, 0, 0, 0
-2.57099, -2.57099, -2, -2, -0.57099, -0.57099
-1.5, -1.5, -1.5, -1.5, 0, 0
2.36796, 2.36796, 2, 2, 0.367964, 0.367964
10.0138, 10.0138, 11, 11, -0.986217, -0.986217
3.47139, 3.47139, 4, 4, -0.528607, -0.528607
