T = 0.320000, n = 181964
T = 0.440000, n = 181968
T = 0.380000, n = 181982
T = 0.200000, n = 181957
T = 0.190000, n = 181968
T = 0.260000, n = 181961
T = 0.180000, n = 192910
T = 0.150000, n = 192860
T = 0.160000, n = 192909
T = 0.100000, n = 192768
T = 0.170000, n = 192876
T = 0.070000, n = 192362
T = 0.050000, n = 192327
T = 0.030000, n = 188309
T = 0.060000, n = 192330
T = 0.130000, n = 192117
T = 0.120000, n = 192059
T = 0.090000, n = 192373
T = 0.040000, n = 188554
T = 0.080000, n = 192316
T = 0.140000, n = 192115
T = 0.020000, n = 181823
T = 0.110000, n = 192878
T = 0.000000, n = 172376
T = 0.010000, n = 179337
T = 0.560000, n = 176824
T = 0.980000, n = 178485
T = 1.580000, n = 180607
T = 0.920000, n = 178518
T = 0.500000, n = 193333
T = 1.520000, n = 172189
T = 1.460000, n = 179890
T = 1.820000, n = 172291
T = 0.800000, n = 172286
T = 0.860000, n = 194843
T = 1.880000, n = 176159
T = 0.680000, n = 174813
T = 0.620000, n = 192187
T = 1.400000, n = 176187
T = 1.640000, n = 192151
T = 1.700000, n = 179921
T = 1.040000, n = 172266
T = 1.220000, n = 172200
T = 1.100000, n = 172269
T = 1.940000, n = 176160
T = 0.740000, n = 174819
T = 1.760000, n = 192158
T = 1.160000, n = 174924
T = 1.280000, n = 179383
T = 1.340000, n = 179363
T = 2.000000, n = 173022
