T = 0.025714, n = 187759
T = 0.000000, n = 180228
T = 0.008571, n = 187753
T = 0.017143, n = 187739
T = 0.034286, n = 180968
T = 0.042857, n = 181162
T = 0.051429, n = 181548
T = 0.060000, n = 181248
T = 0.085714, n = 181225
T = 0.077143, n = 192005
T = 0.068571, n = 186491
T = 0.128571, n = 179454
T = 0.102857, n = 186595
T = 0.111429, n = 188964
T = 0.094286, n = 186721
T = 0.120000, n = 189269
T = 0.145714, n = 182031
T = 0.154286, n = 192902
T = 0.162857, n = 192984
T = 0.137143, n = 53534
T = 0.171429, n = 182082
T = 0.180000, n = 182099
T = 0.188571, n = 179292
T = 0.205714, n = 179445
T = 0.197143, n = 179276
T = 0.214286, n = 179084
T = 0.222857, n = 177543
T = 0.231429, n = 180978
T = 0.240000, n = 177582
T = 0.248571, n = 174166
T = 0.257143, n = 182100
T = 0.265714, n = 182124
T = 0.282857, n = 177565
T = 0.300000, n = 180169
T = 0.308571, n = 181188
T = 0.274286, n = 180544
T = 0.291429, n = 186157
T = 0.325714, n = 179089
T = 0.317143, n = 192473
T = 0.334286, n = 177893
T = 0.342857, n = 189272
T = 0.360000, n = 180777
T = 0.351429, n = 180147
T = 0.368571, n = 181129
T = 0.377143, n = 192438
T = 0.385714, n = 192455
T = 0.402857, n = 191029
T = 0.394286, n = 179593
T = 0.411429, n = 189176
T = 0.420000, n = 191721
T = 0.428571, n = 178277
T = 0.437143, n = 179050
T = 0.445714, n = 179001
T = 0.454286, n = 190325
T = 0.462857, n = 190559
T = 0.471429, n = 189798
T = 0.480000, n = 181378
T = 0.488571, n = 186355
T = 0.497143, n = 187438
T = 0.505714, n = 188378
T = 0.514286, n = 186390
T = 0.522857, n = 177403
T = 0.540000, n = 189409
T = 0.531429, n = 187336
T = 0.548571, n = 182062
T = 0.565714, n = 191312
T = 0.557143, n = 189432
T = 0.591429, n = 192203
T = 0.574286, n = 181402
T = 0.582857, n = 187447
T = 0.600000, n = 184582
