0, -nan, -nan, -nan
0.005, -nan, -nan, -nan
0.01, -nan, -nan, -nan
0.015, -nan, -nan, -nan
0.02, -nan, -nan, -nan
0.025, -nan, -nan, -nan
0.03, -nan, -nan, -nan
0.035, -nan, -nan, -nan
0.04, -nan, -nan, -nan
0.045, -nan, -nan, -nan
0.05, -nan, -nan, -nan
0.055, -nan, -nan, -nan
0.06, -nan, -nan, -nan
0.065, -nan, -nan, -nan
0.07, -nan, -nan, -nan
0.075, -nan, -nan, -nan
0.08, -nan, -nan, -nan
0.085, -nan, -nan, -nan
0.09, -nan, -nan, -nan
0.095, -nan, -nan, -nan
0.1, -nan, -nan, -nan
0.15, -nan, -nan, -nan
0.2, -nan, -nan, -nan
0.25, -nan, -nan, -nan
0.3, -nan, -nan, -nan
0.35, -nan, -nan, -nan
0.4, -nan, -nan, -nan
0.45, 0.00802448, 0.000250671, 3.42171e-07
0.5, 0.0114962, 0.000238801, 1.6599e-07
0.55, 0.0112208, 0.000171975, 6.45079e-08
0.6, 0.0114548, 0.000169467, 5.91843e-08
0.65, 0.0106219, 0.000142329, 3.98313e-08
0.7, 0.00954143, 0.000118073, 2.85927e-08
0.75, 0.00953784, 0.000118049, 2.94695e-08
0.8, 0.00902713, 0.00010358, 2.12519e-08
0.85, 0.00853716, 9.22855e-05, 1.68787e-08
0.9, 0.00837952, 8.82842e-05, 1.56357e-08
0.95, 0.00763696, 7.52612e-05, 1.20229e-08
1, 0.00794742, 7.89018e-05, 1.15831e-08
1.25, 0.00731768, 6.6883e-05, 8.4835e-09
1.5, 0.00721357, 6.55972e-05, 8.45939e-09
1.75, 0.00691167, 6.30228e-05, 8.86889e-09
2, 0.00680101, 5.81325e-05, 6.41974e-09
2.25, 0.00703295, 6.1894e-05, 7.258e-09
2.5, 0.00674371, 5.87616e-05, 6.89319e-09
2.75, 0.00672379, 5.79041e-05, 6.61346e-09
3, 0.00701806, 6.09459e-05, 6.89554e-09
3.25, 0.00707376, 6.1971e-05, 7.0457e-09
3.5, 0.00681238, 5.93564e-05, 7.05491e-09
3.75, 0.00704318, 6.30955e-05, 7.84195e-09
4, 0.00710294, 6.43884e-05, 8.26148e-09
